name,hex,r,g,b,h,s,v
fandango pink,de5285,222,82,133,338,63,87
feldgrau,4d5d53,77,93,83,143,17,36
feldspar,fdd5b1,253,213,177,28,30,99
fern green,4f7942,79,121,66,106,45,47
ferrari red,ff2800,255,40,0,9,100,100
fiery rose,ff5470,255,84,112,350,67,100
firebrick,b22222,178,34,34,0,81,70
fire engine red,ce2029,206,32,41,357,84,81
fire opal,e95c4b,233,92,75,6,68,91
flamingo pink,fc8eac,252,142,172,344,44,99
flattery,6b4423,107,68,35,28,67,42
flavescent,f7e98e,247,233,142,52,43,97
flickr blue}},216bd6,33,107,214,215,85,84
flickr pink,fb0081,251,0,129,329,100,98
flirt,a2006d,162,0,109,320,100,64
floral white,fffaf0,255,250,240,40,6,100
flower girl,f498ad,244,152,173,346,38,96
fluorescent blue,15f4ee,21,244,238,178,91,96
fluorescent orange,ffbf00,255,191,0,45,100,100
fluorescent pink,ff1493,255,20,147,328,92,100
fluorescent yellow,ccff00,204,255,0,72,100,100
folly,ff004f,255,0,79,341,100,100
french beige,a67b5b,166,123,91,26,45,65
french bistre,856d4d,133,109,77,34,42,52
french middle red purple,1c0218,28,2,24,309,90,11
french pink,fd6c9e,253,108,158,339,57,99
french puce,4e1609,78,22,9,11,88,31
french sky blue,77b5fe,119,181,254,212,53,100
french violet,8806ce,136,6,206,279,97,81
fresh air,a6e7ff,166,231,255,196,35,100
frostbite,e936a7,233,54,167,322,77,91
fulvous,e48400,228,132,0,35,100,89
fuzzy wuzzy,cc6666,204,102,102,0,50,80
gainsboro,dcdcdc,220,220,220,0,0,86
gamboge,e49b0f,228,155,15,39,93,89
gargoyle gas,ffdf46,255,223,70,50,73,100
generic viridian,007f66,0,127,102,168,100,50
ghost white,f8f8ff,248,248,255,240,3,100
giant's club,b05c52,176,92,82,6,53,69
giants orange,fe5a1d,254,90,29,16,89,100
gin,d8e4bc,216,228,188,78,18,89
glaucous,6082b6,96,130,182,216,47,71
glossy grape,ab92b3,171,146,179,285,18,70
go green,00ab66,0,171,102,156,100,67
gold fusion,85754e,133,117,78,43,41,52
granite gray,676767,103,103,103,0,0,40
granny smith apple,a8e4a0,168,228,160,113,30,89
grape,6f2da8,111,45,168,272,73,66
gray-asparagus,465945,70,89,69,117,22,35
gray-blue,8c92ac,140,146,172,229,19,67
green,008001,0,128,1,120,100,50
green-blue,1164b4,17,100,180,209,91,71
green cola,4c721d,76,114,29,88,75,45
green-cyan,009966,0,153,102,160,100,60
green lizard,a7f432,167,244,50,84,80,96
green sheen,6eaea1,110,174,161,168,37,68
green slime,65ff00,101,255,0,96,100,100
green-yellow,adff2f,173,255,47,84,82,100
grullo,a99a86,169,154,134,34,21,66
guppie green,00ff7f,0,255,127,150,100,100
gunmetal,2a3439,42,52,57,200,15,19
guyabano,f8f8f8,248,248,248,60,0,97
halloween orange,eb6123,235,97,35,19,85,92
han blue,446ccf,68,108,207,223,67,81
han purple,5218fa,82,24,250,255,90,98
hansa yellow,e9d66b,233,214,107,51,54,91
harlequin,3fff00,63,255,0,105,100,100
harlequin green,46cb18,70,203,24,105,88,80
harmonious rose,f29cb7,242,156,183,341,36,95
harvard crimson,c90016,201,0,22,353,100,79
heart gold,808000,128,128,0,60,100,50
heat wave,ff7a00,255,122,0,29,100,100
heidelberg red,960018,150,0,24,10,100,60
hooker's green,49796b,73,121,107,163,40,47
hot magenta,ff1dce,255,29,206,313,89,100
hot pink,ff69b4,255,105,180,330,59,100
hunter green,355e3b,53,94,59,129,44,37
iceberg,71a6d2,113,166,210,207,46,82
iced tea,923c01,146,60,1,24,99,57
icterine,fcf75e,252,247,94,58,63,99
iguana green,71bc78,113,188,120,126,40,74
illuminating emerald,319177,49,145,119,164,66,57
imperial blue,002395,0,35,149,226,100,58
imperial purple,66023c,102,2,60,325,98,40
imperial red,ed2939,237,41,57,355,83,93
inchworm,b2ec5d,178,236,93,84,61,93
independence,4c516d,76,81,109,231,30,43
india green,138808,19,136,8,115,94,53
indian yellow,e3a857,227,168,87,35,62,89
indigo,4b0082,75,0,130,266,100,100
indigo dye,091f92,9,31,146,230,94,57
infra red,ff496c,255,73,108,348,71,100
interdimensional blue,360ccc,54,12,204,253,94,80
international klein blue,002fa7,0,47,167,223,100,65
islamic green,009000,0,144,0,120,100,56
italian sky blue,b2ffff,178,255,255,180,30,100
jade,00a86b,0,168,107,158,100,66
japanese indigo,264348,38,67,72,189,47,28
japanese violet,5b3256,91,50,86,307,45,36
jazzberry jam,a50b5e,165,11,94,328,93,65
jelly bean,da614e,218,97,78,8,64,85
june bud,bdda57,189,218,87,73,60,85
jungle green,29ab87,41,171,135,163,76,67
kelly green,4cbb17,76,187,23,101,88,73
keppel,3ab09e,58,176,158,171,67,69
key lime,e8f48c,232,244,140,67,43,96
kiwi,8ee53f,142,229,63,91,72,90
kobi,e79fc4,231,159,196,329,31,91
kobicha,6b4423,107,68,35,28,67,42
ksu purple,512888,79,38,131,266,71,53
ku crimson,e8000d,232,0,13,357,100,91
la salle green,087830,8,120,48,141,93,47
lanzones,e0bc5b,224,188,91,44,59,88
laurel green,a9ba9d,169,186,157,95,16,73
lemon chiffon,fffacd,255,250,205,54,20,100
lemon iced tea,bd3000,189,48,0,16,100,74
liberty,545aa7,84,90,167,236,50,65
light blue,add8e6,173,216,230,195,25,90
light brown,b5651d,181,101,29,28,84,71
light cobalt blue,88ace0,136,172,224,215,39,88
light cornflower blue,93ccea,147,204,234,201,37,92
light crimson,f56991,245,105,145,343,57,96
light cyan,e0ffff,224,255,255,180,12,100
light deep pink,ff5ccd,255,92,205,318,64,100
light french beige,c8ad7f,200,173,127,38,37,78
light gray,d3d3d3,211,211,211,0,0,83
light grayish magenta,cc99cc,204,153,204,300,25,80
light green,90ee90,144,238,144,120,39,93
light hot pink,ffb3de,255,179,222,326,30,100
light moss green,addfad,173,223,173,120,22,87
light orange,fed8b1,254,216,177,30,30,100
light pastel purple,b19cd9,177,156,217,261,28,85
light pink,ffb6c1,255,182,193,351,29,100
light red,ffcccb,255,204,203,2,20,100
light red ochre,e97451,233,116,81,14,65,91
light salmon pink,ff9999,255,153,153,0,40,100
light sea green,20b2aa,32,178,170,177,82,70
light sky blue,87cefa,135,206,250,203,46,98
light slate gray,778899,119,136,153,210,22,60
light steel blue,b0c4de,176,196,222,214,21,87
light taupe,b38b6d,179,139,109,26,39,70
light yellow,ffffe0,255,255,224,60,12,100
lilac luster,ae98aa,174,152,170,311,13,68
lincoln green,195905,25,89,5,106,94,35
liseran purple,de6fa1,222,111,161,333,50,87
little boy blue,6ca0dc,108,160,220,212,51,86
little girl pink,f8b9d4,248,185,212,334,25,97
livid,6699cc,102,153,204,210,50,80
lotion,fefdfa,255,254,250,45,2,100
lotion blue,15f2fd,123,154,200,33,45,76
lotion pink,eccfcf,236,207,207,0,12,93
lumber,ffe4cd,255,228,205,28,20,100
lust,e62020,230,32,32,0,86,90
maastricht blue,001c3d,0,28,61,212,100,24
macaroni and cheese,ffbd88,255,189,136,27,47,100
madder lake,cc3336,204,51,54,359,75,80
majorelle blue,6050dc,96,80,220,247,64,86
malachite,0bda51,11,218,81,140,95,85
manatee,979aaa,151,154,170,231,11,67
mandarin,f37a48,243,122,72,18,70,95
mango,fdbe02,253,190,2,46,99,99
mango green,96ff00,150,255,0,85,100,100
mango tango,ff8243,255,130,67,20,74,100
